ID,Артикул,Производитель,Название,Ед. Изм.,Кол-во,Кол. Вн. склады,Цена
34186,BBG20-AELA-K04,IEK,"Кнопка управления AELA-22 ""Грибок"" d=22мм 1з+1р неон/240В красная IEK",шт,1,1025.0,284.38
54078,ERK13-K01-10-DM,IEK,Розетка 1-местная РС10-2-КБ без заземляющего контакта без защитной шторки 10А КВАРТА белый IEK,шт,124,12859.0,80.35
54746,CKMP10D-P-020-010-K01,IEK,Поворот на 90град КМП 20x10 (4шт/компл) IEK,компл,420,2219.0,52.08
54744,CKMP10D-P-040-016-K01,IEK,Поворот на 90град КМП 40x16 (4шт/компл) IEK,компл,276,251.0,71.0
54747,CKMP10D-P-060-040-K01,IEK,Поворот на 90град КМП 60x40 (4шт/компл) IEK,компл,76,937.0,165.03
54742,CKMP10D-P-015-010-K01,IEK,Поворот на 90град КМП 15х10 (4шт/компл) IEK,компл,213,2743.0,45.45
54745,CKMP10D-P-016-016-K01,IEK,Поворот на 90град КМП 16х16 (4шт/компл) IEK,компл,62,2578.0,46.87
54748,CKMP10D-P-100-040-K01,IEK,Поворот на 90град КМП 100x40 (2шт/компл) IEK,компл,30,61.0,172.4
54421,CKMP10D-Z-040-016-K01,IEK,Заглушка кабельной трассы КМЗ 40х16 (4шт/компл) IEK,компл,4,811.0,54.36
54422,CKMP10D-Z-060-040-K01,IEK,Заглушка кабельной трассы КМЗ 60х40 (4шт/компл) IEK,компл,12,1316.0,126.37
54423,CKMP10D-Z-016-016-K01,IEK,Заглушка кабельной трассы КМЗ 16х16 (4шт/компл) IEK,компл,307,102.0,35.88
54420,CKMP10D-Z-100-040-K01,IEK,Заглушка кабельной трассы КМЗ 100x40 (2шт/компл) IEK,компл,84,301.0,132.2
54419,CKMP10D-Z-100-060-K01,IEK,Заглушка кабельной трассы КМЗ 100x60 (2шт/компл) IEK,компл,138,7385.0,142.27
45056,UMK30-N,IEK,"Маркер кабельный МК3- 6мм символ ""N"" (350шт/упак) IEK",упак,1,,97.46
45680,UGN10-4-001-03-12,IEK,Наконечник-гильза Е1012 1мм2 (темно-красный) (20шт) IEK,упак,60,1330.0,33.53
45736,UNL20-4-D25-4-5,IEK,"Наконечник изолированный НКИ2-5 кольцо 1,5-2,5мм (20шт) IEK",упак,25,3123.0,88.76
45768,UZV4-005-04-2,IEK,"Зажим контактный винтовой ЗВИ-5 н/г 1,5-4мм2 (2шт/блистер) IEK",упак,5,3502.0,121.16
45769,UZV4-010-06-2,IEK,"Зажим контактный винтовой ЗВИ-10 н/г 2,5-6мм2 (2шт/блистер) IEK",упак,2,330.0,183.07
45774,UZV7-010-06-2,IEK,"Зажим контактный винтовой ЗВИ-10 н/г 2,5-6мм2 желтый (2шт/блистер) IEK",упак,46,211.0,183.07
55523,MVA41-1-006-C,IEK,Выключатель автоматический ВА47-60 1Р 6А 6кА С IEK,шт,3,,106.6
61768,IVS24-1-00500,IEK,"Стабилизатор напряжения настенный BOILER 0,5кВА IEK",шт,1,378.0,4132.93
26718,SVA10-3-0012,IEK,"Выключатель автоматический ВА88-32 3Р 12,5А 25кА ИЭК",шт,1,228.0,3379.65
24130,MVA40-3-025-C,IEK,Выключатель автоматический ВА47-100 3Р 25А 10кА С IEK,шт,1,2872.0,2193.96
45662,LDD12-028-1200-001,IEK,Датчик движения ДД-028 1200Вт 140град 9м IP20 белый IEK,шт,11,274.0,645.76
63286,EVK30-K01-10-DM,IEK,Выключатель 3-клавишный ВС10-3-0-КБ 10А КВАРТА белый IEK,шт,26,5331.0,143.59
10626,BKP10-2-K01,IEK,Корпус поста КП102 для кнопок управления 2 места белый IEK,шт,10,8857.0,109.29
22840,KPV10-11-1,IEK,"Приставка ПВИ-11 задержка на включение 0,1-30сек 1з+1р IEK",шт,1,76.0,900.77
22844,KPV20-11-3,IEK,"Приставка ПВИ-23 задержка на выключение 0,1-3сек 1з+1р IEK",шт,6,279.0,1003.62
54484,BLS30-ALTE-K01,IEK,Лампа AL-22TE сигнальная d=22мм белый неон/240В цилиндр IEK,шт,3,1.0,153.87
54115,EVK20-K33-10-DM,IEK,Выключатель 2-клавишный ВС10-2-0-ККм 10А КВАРТА кремовый IEK,шт,9,2180.0,89.21
45710,UKO10-100-100-029-K01,IEK,Коробка распаячная КМ41219 для о/п 100х100х29мм белая (6 клемм 6мм2) IEK,шт,10,6106.0,148.04
62262,PSN02-125-5,IEK,Вилка переносная ССИ-045 125А-6ч/200/346-240/415В 3Р+РЕ+N IP67 MAGNUM IEK,шт,2,1181.0,8618.9
26669,BBG50-LAY5-K04,IEK,"Кнопка управления LAY5-BS142 ""Грибок"" d=22мм 1р 240В с ключом красная IEK",шт,26,1266.0,397.03
43494,CKK-40D-RT2-K01,IEK,Розетка телефонная РКФ-20-00-П RJ-11 кат.3 (на 2 модуля) ПРАЙМЕР белая IEK,шт,5,130.0,364.61
45713,UKO11-075-040-000-K41-44,IEK,"Коробка распаячная КМ41237 для о/п d75х40мм IP44 (RAL 7035, 4 гермоввода) IEK",шт,25,12761.0,46.11
43495,CKK-40D-RI2-K01,IEK,Розетка информационная РКИ-20-00-П RJ-45 UTP кат.5e (на 2 модуля) ПРАЙМЕР белая IEK,шт,1,215.0,475.56
45714,UKO11-190-140-070-K41-44,IEK,"Коробка распаячная КМ41243 для о/п 190х140х70мм IP44 (RAL 7035, 10 гермовводов) IEK",шт,1,2678.0,250.59
45782,EVMP12-K01-10-54-EC,IEK,Выключатель 1-клавишный для открытой установки проходной ВСп20-1-0-ГПБ IP54 ГЕРМЕС PLUS,шт,38,3998.0,333.64
45783,ERMP12-K01-16-54-EC,IEK,Розетка 1-местная для открытой установки РСб20-3-ГПБб с заземляющим контактом IP54 ГЕРМЕС PLUS (цвет,шт,18,17950.0,291.1
45786,ERMP22-K03-16-54-EC,IEK,Розетка 2-местная для открытой установки РСб22-3-ГПБд с заземляющим контактом IP54 ГЕРМЕС PLUS (цвет,шт,1,16035.0,540.34
44298,EBVMP20-K03-32-54-EC,IEK,Блок вертикальный для открытой установки БВб-22-32-ГПБд (Выключатель 2-клавишный + розетка 1-местная,шт,14,,387.83
